,r_d,log_RV
n,316.0,316.0
mean,-0.0005873346433431008,-8.057057011299621
std,0.020627294642243513,0.8805730443461401
skew,-0.02726996697577806,-0.30798535059931353
excess_kurt,2.4547576227891295,0.3376438279256342
kurtosis,5.4547576227891295,3.337643827925634
jb_stat,75.69946099253887,6.2415219621765115
jb_pvalue,3.6481350237969125e-17,0.044123578431908256
ks_stat,0.08591655098879586,0.04571191619556414
ks_pvalue,0.01770626440830528,0.5091381406112174
q01,-0.06311818290562395,-10.295404719127328
q05,-0.03542097483930284,-9.742922022747814
q95,0.029155846847966682,-6.720630469561924
q99,0.053907807217844265,-6.066783746047344
min,-0.06626501177420785,-10.641115375242972
max,0.0824453264878855,-5.4919989527707385
