family,scale,n,n_params,loglik,aic,bic,sigma_mean,nu,lam,converged,fit_sec
HAR,static,294,7,-323.2279255901511,660.4558511803021,686.2409095516729,0.7783345222197132,8.030389934834183,-0.41020601325720835,True,0.019978046417236328
HAR,gas,294,10,-321.2107750594644,662.4215501189288,699.2573477923156,0.8358874285813386,5.644778363260009,-0.4541748876267713,True,17.17635202407837
HAR,egarch,294,11,-316.13667462553025,654.2733492510605,694.792726691786,0.73336204218147,17.062814926838513,-0.1924747519729103,False,25.157591104507446
HAR-Q,static,294,8,-323.08504317938724,662.1700863587745,691.638724497484,0.7752950270364566,8.480896243121917,-0.4134296301061652,True,0.03441214561462402
HAR-Q,gas,294,11,-316.6201627874845,655.240325574969,695.7597030156945,0.8038978198440891,6.341083066089052,-0.3523365924415869,False,23.663462162017822
HAR-Q,egarch,294,12,-316.6768137217012,657.3536274434024,701.5565846514666,0.7220784639126939,11.334432032618356,-0.5305070210809482,True,19.741039991378784
HAR-J,static,294,8,-322.8901095916866,661.7802191833732,691.2488573220827,0.7729456718195604,8.626261791292954,-0.40710340224451647,True,0.044232845306396484
HAR-J,gas,294,11,-325.598475096677,673.196950193354,713.7163276340796,0.9812883354272955,3.6222643666309144,-0.43995630128163465,True,13.441572904586792
HAR-J,egarch,294,12,-319.64023215030795,663.2804643006159,707.4834215086801,0.797787532126395,7.321783615491387,-0.4662241068387877,True,16.522983074188232
HAR-CJ,static,294,10,-322.6746417408466,665.3492834816932,702.18508115508,0.7772911640283021,8.04129334676973,-0.4107922670989057,True,0.0334322452545166
HAR-CJ,gas,294,13,-321.31766534945484,668.6353306989097,716.5218676743125,0.8563183470283023,5.846524721947324,-0.4748538013682656,True,23.13013482093811
HAR-CJ,egarch,294,14,-319.77315696547134,667.5463139309427,719.1164306736842,0.7742345195760779,18.678272607208086,-0.4135881460444055,False,22.020454168319702
HAR-CJ-Q,static,294,11,-322.3211864597754,666.6423729195508,707.1617503602763,0.7784543355884165,8.02802101119723,-0.423893549812083,True,0.020776987075805664
HAR-CJ-Q,gas,294,14,-318.19667536149683,664.3933507229937,715.9634674657352,0.805801150734067,8.088046329663243,-0.5132521746913989,False,22.427035093307495
HAR-CJ-Q,egarch,294,15,-317.741507442821,665.483014885642,720.7367113957222,0.7790454436266299,7.966461425213431,-0.48160121749201357,False,24.223651885986328
HAR-RS,static,294,8,-319.74677440538545,655.4935488107709,684.9621869494804,0.7765606526883361,7.990551133957603,-0.45460589262708684,True,0.019134998321533203
HAR-RS,gas,294,11,-314.5488949912844,651.0977899825688,691.6171674232943,0.9899539921574194,3.1480069974308815,-0.5596684481038245,False,25.172308921813965
HAR-RS,egarch,294,12,-313.3297219161222,650.6594438322444,694.8624010403086,0.7533934105848494,6.3613165145935335,-0.39833113566572576,True,18.18433117866516
HAR-RS-Q,static,294,10,-319.55730622742533,659.1146124548507,695.9504101282374,0.7742319517673576,7.97890589110727,-0.4471292152177723,True,0.0701448917388916
HAR-RS-Q,gas,294,13,-319.099457672834,664.198915345668,712.0854523210708,0.7715714975485621,8.08437625551774,-0.44617429382109597,False,23.985692024230957
HAR-RS-Q,egarch,294,14,-315.9913560820645,659.982712164129,711.5528289068706,0.8123744106699957,6.469357136285727,-0.4943658619621766,False,23.40322184562683
