freq,strategy,n_bars,sim_time,fees,n_rebal,n_skip,final,tot_ret,ann_ret,ann_vol,sharpe,mdd,calmar
1m,B&H,1808332,0.6265149116516113,0.21913485825851842,4,0,352.2022711837641,2.20183882894331,0.4024802599000272,0.5208633458073011,0.772717571969307,-0.48345433537829746,0.8325093611687049
1m,Trend MA50,1808332,0.7828760147094727,104.20463178424664,2198,910768,5.545249790047854,-0.9495886382722922,-0.5803533881179836,0.043704866312882354,-13.278919193191077,-0.9495886382722923,-0.6111629443817846
1m,Trend MA200,1808332,0.7458481788635254,101.41951041672117,2160,919638,5.554632549610459,-0.9495033404580867,-0.580147130419064,0.05151901455024343,-11.260835159284365,-0.9495033404580867,-0.6110006207447071
1m,Momentum-20,1808332,0.7861649990081787,104.88118347917879,2200,911258,5.541883934457046,-0.9496192369594814,-0.5804274387947509,0.043547991115937316,-13.328454973950132,-0.9496192369594814,-0.6112212307884373
1m,RSI-14<30,1808332,0.719257116317749,105.11459789527584,2236,162938,5.54406749031723,-0.9495993864516615,-0.5803793957295811,0.05672391380426176,-10.2316528745232,-0.9495993864516615,-0.6111834148274534
5m,B&H,378768,0.1308579444885254,0.2197852280540013,4,0,351.6121778896551,2.19647434445141,0.3805828149097783,0.4543622906987856,0.8376197204316004,-0.48294978707563746,0.7880380633653186
5m,Trend MA50,378768,0.15613508224487305,94.18857846762445,2010,186218,5.544975306644868,-0.9495911335759557,-0.563580620928511,0.07947659984267642,-7.0911516351242545,-0.9495911335759557,-0.5934981920125852
5m,Trend MA200,378768,0.15647530555725098,91.52393770103737,2026,183359,5.548159069037562,-0.9495621902814767,-0.563511091570331,0.08537206741299477,-6.600649470561574,-0.9495741667560169,-0.5934355749118849
5m,Momentum-20,378768,0.1552269458770752,96.33328970321305,2010,187221,5.544216987970825,-0.9495980273820834,-0.5635971859054465,0.0811250092704609,-6.947268061646466,-0.9495980273820834,-0.593511327586905
5m,RSI-14<30,378768,0.14666295051574707,109.1088573201476,2348,29889,5.545794811770158,-0.9495836835293622,-0.5635627212134315,0.07539567429803679,-7.4747354733599884,-0.9495836835293623,-0.5934839982915582
15m,B&H,126568,0.04365181922912598,0.21974692706250362,4,0,351.3614570754997,2.1941950643227246,0.3792156243775431,0.434497880142984,0.8727674902642822,-0.48177450179588255,0.7871226537808939
15m,Trend MA50,126568,0.05146288871765137,95.21095279406883,2184,55678,5.553274883259138,-0.9495156828794624,-0.5625084885746122,0.12633035634044695,-4.452678713726662,-0.9495156828794624,-0.5924162167272182
15m,Trend MA200,126568,0.04981207847595215,104.94931999002551,2436,41896,5.548468600069435,-0.9495593763630051,-0.5626133484605191,0.18453860703987138,-3.0487568833710825,-0.9504098639596281,-0.5919691806612163
15m,Momentum-20,126568,0.05146503448486328,91.86439927939193,2096,57819,5.545822267949776,-0.9495834339277293,-0.5626711121947108,0.10182874343038463,-5.525660960152982,-0.9495834339277294,-0.5925452067622469
15m,RSI-14<30,126568,0.04810023307800293,130.16106208900453,2464,7423,5.544996433198885,-0.9495909415163738,-0.5626891424704522,0.10720178248560094,-5.248878604663417,-0.9510042561609883,-0.5916788897895309
1h,B&H,31659,0.012604236602783203,0.21997583025038323,4,0,352.34626649995187,2.20314787727229,0.38005644068413535,0.4272839177569732,0.8894705016730831,-0.4616421448018516,0.8232706761365237
1h,Trend MA50,31659,0.012538909912109375,151.95768652022292,2538,0,7.119958950822813,-0.9352731004470654,-0.5311666737519218,0.2982469360512611,-1.7809627176207694,-0.9378839170033211,-0.566345860209522
1h,Trend MA200,31659,0.012174844741821289,161.21744547734667,1084,0,62.06034696654217,-0.4358150275768894,-0.14647446983351486,0.29629384412651294,-0.49435542700972385,-0.670128176170992,-0.21857679626373447
1h,Momentum-20,31659,0.01238703727722168,162.259066637347,3022,2995,5.553076139908269,-0.9495174896371975,-0.5623271371847589,0.2789341862296635,-2.0159850063045366,-0.9504416327043932,-0.5916482589096075
1h,RSI-14<30,31659,0.012922286987304688,99.10719862339542,1767,0,10.629834765143391,-0.9033651384986965,-0.47618357486408946,0.16435794091829764,-2.897234975101084,-0.9040493977915857,-0.5267229600808452
1d,B&H,1322,0.0007512569427490234,0.2215984252105875,4,0,358.9317630385446,2.2630160276231326,0.386487570964102,0.42343272349882394,0.9127484710453075,-0.45630726213819434,0.8469897436062563
1d,Trend MA50,1322,0.0009410381317138672,22.574020349895537,79,0,286.2837823368844,1.6025798394262223,0.3025024937940268,0.31164485895545324,0.9706641553720184,-0.27697492937303037,1.0921656139737321
1d,Trend MA200,1322,0.0010600090026855469,8.088199476947088,31,0,203.8582571063617,0.8532568827851064,0.18585659731971527,0.33374042345316757,0.5568896791005473,-0.3662993480662632,0.5073899211147217
1d,Momentum-20,1322,0.0008900165557861328,26.288961638091706,137,0,163.26538084971025,0.484230734997366,0.11528751916871327,0.3143676799393896,0.3667282819625123,-0.33559198882109276,0.3435347773756725
1d,RSI-14<30,1322,0.0011439323425292969,9.593759586094349,62,0,104.37791349300626,-0.051109877336306675,-0.014391074961760286,0.18248505486432903,-0.07886166334256536,-0.31565206172158417,-0.045591576000709615
