strategy,fees,n_rebal,n_skip,final,tot_ret,ann_ret,ann_vol,sharpe,sortino,mdd,calmar
B&H,0.1652586759126899,2,0,224.88609860561488,1.0444190782328624,0.2203006328608179,0.422929617764666,0.5208919489374743,0.7180536299924999,-0.5485732492903552,0.4015883624398437
Trend MA50,21.059671635152032,77,0,262.70075178464776,1.388188652587707,0.2742639075158926,0.30516993459990954,0.8987251901975991,0.9268720740564383,-0.2711219798104674,1.011588613020684
Bollinger MR,8.115767327377592,42,0,112.61162213993293,0.023742019453935725,0.006554234321749952,0.23622267819208967,0.027745999545480692,0.019360384718932047,-0.3830478064750844,0.017110747564550475
Bollinger Breakout,9.527318514447497,49,0,191.91273455460782,0.7446612232237075,0.16760411676292364,0.23762821473845888,0.7053207757647552,0.5625350440275158,-0.28712899479404247,0.5837241093785949
MACD,18.797719210797993,88,0,208.46037885844532,0.8950943532585938,0.1948025816700325,0.28417130302449806,0.685511096992221,0.6912349976698127,-0.27204498367633956,0.7160675379399579
ATR-stop on Trend MA50,32.53365908882073,95,0,311.3497053151508,1.8304518665013707,0.33598848072196463,0.29538590596676056,1.1374560327186802,1.2958628193138095,-0.276241200744265,1.2162866357977198
Donchian,13.16810324715109,59,0,228.4348328086918,1.0766802982608343,0.2256316550081463,0.25251452949790293,0.8935392963596581,0.854834407283919,-0.2472823176218798,0.9124455690081342
RSI-Bounce,7.439725646103646,46,0,132.89501795291287,0.20813652684466244,0.054052398840214844,0.1322674643199389,0.40865982513635146,0.23865142279910728,-0.14474524954772922,0.3734312456478322
HAR vol-regime + Trend,44.64008620044399,225,0,164.98179615751582,0.499834510522871,0.11947095420258735,0.17292172380383306,0.69089615563929,0.6522908914773415,-0.23810208520106882,0.5017635780119202
HAR vol-target + Trend,27.87482713125844,260,0,255.1154629229557,1.3192314811177788,0.26391160487625376,0.2798901960877872,0.9429112150590592,0.9750732860435154,-0.25539357052472433,1.0333525794483727
Trend MA50 + BB pullback,19.9304095456025,77,0,245.83355168267792,1.2348504698425264,0.25093707087860184,0.30688466585569163,0.8176917871699775,0.8425290719178138,-0.3237387033339068,0.7751222461028493
