final,initial,ann_return,sharpe,mdd_pct,fees_pct,n_trades,ma_window,strategy
5735.379639886544,5000,3.866845172377187,0.12487586426360422,-47.599622934215446,45.47516323086928,223,10,pure_trend
5834.292439264645,5000,4.359069871260801,0.15539742233675455,-42.63030459448238,41.13928389001464,232,10,atr_stop_trend
4453.1762495345265,5000,-3.1516414806481263,-0.13692808791590647,-43.22087135295263,39.99123949789743,606,10,har_voltarget_trend
7252.666190429314,5000,10.831091432091666,0.32499921801596676,-36.98591740337179,26.394789611386216,137,20,pure_trend
8265.725554851884,5000,14.911081201079757,0.4991646684217628,-32.96921696442408,28.898270811145178,156,20,atr_stop_trend
5491.0884903237775,5000,2.6242870359137527,0.1048115742274379,-31.226528469771843,28.754609294448315,547,20,har_voltarget_trend
14136.748068238421,5000,33.29203995895136,0.9220043227718472,-34.869894472876126,25.44609942408096,73,50,pure_trend
9795.310376312864,5000,20.434215923219302,0.6754570318777495,-35.68903188796947,28.745350814668214,123,50,atr_stop_trend
8615.181410018004,5000,16.234284110695853,0.627224513451145,-32.226158060073615,33.09293317703833,523,50,har_voltarget_trend
10013.39476402316,5000,21.16970475036799,0.5965568818109426,-40.55594825293366,12.693240961930515,57,100,pure_trend
6238.186004404945,5000,6.308489260394867,0.2158730689465116,-44.931907710410755,21.249703136616642,126,100,atr_stop_trend
5947.256289232797,5000,4.9138870645499155,0.19670822287005488,-32.57573310817216,21.752087766379496,551,100,har_voltarget_trend
7036.316869146821,5000,9.906926649641367,0.3017435585952352,-37.47798600977069,5.006430034199283,26,200,pure_trend
4405.730935392338,5000,-3.4380487504247936,-0.12805182748797544,-42.71670797566329,14.775979929600178,112,200,atr_stop_trend
4805.907112664099,5000,-1.0887320982094106,-0.04602618734724222,-36.22452809747364,14.839322409385117,453,200,har_voltarget_trend
